Platform,Topic,Searched Text,URL,Hashtags,Content Type,Publisher,Publication Date,Summary,Perceived Bias,Views,Likes,Comments,Reposts
Twitter,Climate Change,Climate change ,https://x.com/ECOWARRIORSS/status/1484921165802098691,,Text - Video,GO GREEN @ECOWARRIORSS,01/22/22,"Our climate is dramatically shifting in years not decades, with collapse of ice shelf of Thwaites Glacier size of Florida predicted to happen in as little as 5 years and devastating 1.5 C world in just 5 to 10 yearsOur climate has changed - why are Govts and people not changing",In-favor,,471,152,237
Twitter,Climate Change,Recommended,https://x.com/Bagel69er/status/1892158250713592021,,Text - Photo,🇺🇸🇺🇸🇺🇸Bagel Colorado❤️🤍💙@Bagel69er,02/19/25,"What’s Climate Change ? 🤷🏻‍♂️🤷🏻‍♂️🤷🏻‍♂️🤷🏻‍♂️ @GabiNga1 @1mccm @Ilegvm @Imcg_2 @InjunJoe2726 @vegaskate50001 @smrose29 @mamacita4life2 @Gentleman_Jnr @StellaArtoisGB @snoopsmom123 @BB_Scats @BellaZZu @CatSaavy @KittenKlawz @KattVonKitten1 @MissyMoxon @Satan__theDevil @lady_freyaCC @Taggie1224 @AsenaAshkenazi @Me1aniaP @lhill8068 @TheJudge96 @ReeseIsaiah1 @ArmyMom0756 @LeafyMaple @Im_Maria_Brown @Cocopoppers123 @Bri12267Brian @KatEv345 @ktboyd1152 @sa1ntandr3w @bulldog_backup @cecegkh @MsProLifeUSA @EndaRet25 @Lauria1960 @sikkat10 @mgtexp @llandoniffirg @pitreblake @texan_lori @macatpratt @Kim465898497773 @DeniceMoseley @Susannah411 @lizzyb720 @carrieeccles @Sp89647Victoria THE PEOPLE WHO ARE WHINING ABOUT 19 YR. OLDS WORKING FOR ""DOGE"" ARE THE SAME WHO WANTED TO LISTON TO 13 YR. OLD ABOUT THE CLIMATE!!",Against,5722,239,61,132
Twitter,Climate Change,Recommended,https://x.com/PeterDClack/status/1890903274984772058,,Text - Photo,Peter Clack @PeterDClack,2/15/25,This is why the United Nations ditched global warming & replaced it with climate change. After 1/3 of all Man's influence since 1750 No global warmimg for 18 years 8 months,Against,47800,3500,79,1600
Twitter,Climate Change,Recommended,https://x.com/LangmanVince/status/1892560062616338796,,Text - Video,Vince Langman @LangmanVince,2/20/25,Joe Rogan just figured out that climate change is a hoax. Better late than never!,Against,1500000,42000,808,9700
Twitter,Climate Change,Recommended,https://x.com/LeoKearse/status/1890868914080346503,,Text - Photo,Leo Kearse - on YouTube & GB News,2/15/25,"It was never about ""climate change"", was it? 'I'm giving up my Tesla because of Elon Musk' Once the stuff of car geeks' dreams, a model 3 is now 'like driving a Beetle in 1939 Germany'",Neutral,176800,9800,844,847
Twitter,Climate Change,Recommended,https://x.com/save_children/status/1892527640101224881,,Text - Video,Save the Children International,2/20/25,"Did you know nearly half of the world's displaced people are children?⚠️ Climate change, conflict & poverty are uprooting children & families from their homes. Every child deserves a safe place to call home❤️ NEARLY HALF OF THE WORLD'S DISPLACED PEOPLE ARE CHILDREN ",In-favor,805,16,3,12
Twitter,Climate Change,Recommended,https://x.com/BGatesIsaPyscho/status/1892597732449071417,,Text - Video,"Concerned Citizen",2/20/25,"🚨🇺🇸 Catastrophic Flooding in Kentucky There is a reason why you are seeing so much flooding, so many Earthquakes, Wild fires & even hurricanes.Hint:- It’s not Climate Change",In-favor,1800000,20000,1400,5600
Twitter,Climate Change,Recommended,https://x.com/IPCC_CH/status/1877305246185148764/photo/1,,Text - Photo,IPCC,9/1/25,#Globalwarming of 1.1°C has resulted in more frequent & more intense extreme weather events that have caused dangerous impacts on nature & people worldwide. Every increment of warming results in rapidly escalating hazards.#IPCC's Synthesis Report 👉 https://bit.ly/SRYRpt23,In-favor,64700,776,198,611
Twitter,Climate Change,Recommended,https://x.com/i/status/1885755521774334152,#ActOnClimate #ClimateChange  #globalwarming ,,Mike Hudema,1/2/25,#ClimateChange is caused by human greenhouse gas emissions. We’re causing #globalwarming 100 times faster than past natural changes We are taking Earth’s climate beyond natural limits with carbon dioxide & temperatures levels not seen for 3 million years.#ActOnClimate,In-favor,27400,647,129,389
Twitter,Climate Change,Recommended,https://x.com/MarindaVannoy1/status/1892318789137494435/photo/1,,Text - Photo,Mandy,2/19/25,Say what you want but Climate Change is a scam.,Against,118300,9300,1500,789
