Platform,Topic,Searched Text,Title,Location,URL,Hashtags,Content Type,Publisher,Publication Date,Summary,Perceived Bias,Views,Likes,Duration,Subscribers
Youtube,Climate Change,Climate Change ,Arctic Climate Collapse! This time it's REALLY flipped!!,United States,https://www.youtube.com/watch?v=LrS4PKDln0E,,Video,Just Have a Think,2/23/25,The Arctic region has been a massive store of carbon for thousands of years. Now it's warming between 3 and 7 times faster than the global average and that carbon is escaping into our atmosphere. The latest research suggests that more than a third of it is now a net emitter! And in case you're wondering...that's NOT good! Help support this channels independence at  / justhaveathink  Or with a donation via Paypal by clicking here https://www.paypal.com/cgi-bin/webscr...You can also help keep my brain ticking over during the long hours of research and editing via the nice folks at BuyMeACoffee.com https://www.buymeacoffee.com/justhave... Video Transcripts available at our website http://www.justhaveathink.com Reference links : Woodwell Paper https://www.nature.com/articles/s4155... Hansen et al https://www.tandfonline.com/doi/full/... Carl Rasmussen LinkedIn Post https://www.linkedin.com/posts/carled... Additional research paper https://www.nature.com/articles/s4155...Check out other YouTube Climate Communicators zentouro:/ zentouro  Climate Adam:  / climateadam  Kurtis Baute: / scopeofscience  Levi Hildebrand:   / the100lh   Simon Clark: / simonoxfphys  Sarah Karvner:/ @sarahkarver   ClimateTown:    / @climatetown  Jack Harries:/ jacksgap  Beckisphere:    / @beckisphere  Our Changing Climate : / @ourchangingclimate  National Grid Capacity Explainer https://www.nationalgrid.com/stories/...,In-favor,"455,998",24000,674,613000
Youtube,Climate Change,Recommended,This Is The Best Evidence That Atlantic Currents Are Slowing (AMOC Explained),United States,https://www.youtube.com/watch?v=4LrDz63Br04,,Video,PBS Terra,2/26/25,"Get the PBS App to watch Weathered: Earth’s Extremes for free: https://to.pbs.org/PBSAppWeathered If you're outside of the US and want to watch the show, you can check it out on PBS.org: https://to.pbs.org/WeatheredINTL This episode of Weathered: Earth’s Extremes was originally released on Oct, 2nd, 2024. The AMOC is one of Earth’s most vital systems and it may be collapsing. Ocean scientist, Lisa Beal, has discovered that the Gulf Stream is slowing down, indicating a potential tipping point for the AMOC. In hopes to prevent an AMOC collapse, Maiya May heads to Georgia to meet Stacey Abrahms and learn how an ambitious non-profit hopes to electrify everything. She then travels to take her first flight lesson in an all electric plane. And finally she returns to Florida to learn about the final piece of the puzzle in reaching net-zero carbon emissions: nature.Weathered is a show hosted by weather expert Maiya May and produced by Balance Media that helps explain the most common natural disasters, what causes them, how they’re changing, and what we can do to prepare.*****PBS Member Stations rely on viewers like you. To support your local station, go to: http://to.pbs.org/DonateTerra*****Subscribe to PBS Terra so you never miss an episode! https://bit.ly/3mOfd77 And keep up with PBS Terra on: Facebook:    / pbsdigitalstudios   Tiktok:   / pbsterra  Instagram:    / pbsterra  Thank you Margaret A. Carghill Philanthropies for supporting PBS.",In-favor,5914,833,1566,587000
Youtube,Climate Change,Recommended,Our Water Crisis Is WAY WORSE than You Think...Here's Why,United States,https://www.youtube.com/watch?v=7ALeNj7cp_s,,Video,PBS Terra,2/12/25,"From California’s epic few years of droughts and floods to wells running dry and aquifers depleting, water is a critical environmental issue. So, what do we do about it? In this episode, Maiya May tries to figure this out. To start, she visits Tulare Lake, California, once a critical water reserve and cultural site for the Tachi-Yokut tribe, which has re-emerged after 150 years. Maiya learns about agriculture's challenges, the depletion of groundwater, and finds hope in innovative farming practices that reduce emissions and conserve water. She then heads back to California to learn how water officials are utilizing floods to recharge critical aquifers. Get the PBS App to watch Weathered: Earth’s Extremes for free: https://to.pbs.org/PBSAppWeathered If you're outside of the US and want to watch the show, you can check it out on PBS.org: https://to.pbs.org/WeatheredINTL This episode of Weathered: Earth’s Extremes was originally released on Oct, 2nd, 2024. Weathered is a show hosted by weather expert Maiya May and produced by Balance Media that helps explain the most common natural disasters, what causes them, how they’re changing, and what we can do to prepare. ***** PBS Member Stations rely on viewers like you. To support your local station, go to: http://to.pbs.org/DonateTerra ***** Subscribe to PBS Terra so you never miss an episode! https://bit.ly/3mOfd77 And keep up with PBS Terra on:  Facebook:    / pbsdigitalstudios  Tiktok:   / pbsterra   Instagram:    / pbsterra Thank you Margaret A. Carghill Philanthropies for supporting PBS.",In-favor,465580,14000,1540,587000
Youtube,Climate Change,Recommended,Who Killed the Colorado River?,United States,https://www.youtube.com/watch?v=d3Lt58tTYFk,,Video,PBS Terra,8/17/24,"Check out Weathered: Earth’s Extremes on the PBS app and streaming platforms: https://to.pbs.org/WeatheredOverview This episode explores the mystery of the vanishing Colorado River Delta. Once a lifeline for the American Southwest, it's now a shadow of its former self. What happened? Outdated water laws? Excessive urban development and agriculture? Is there a possibility for restoration? Let's investigate.  Hosted by Joe Hanson from Be Smart, Overview uses stunning 4k drone footage to reveal the natural and human-made marvels shaping our planet--from a 10,000-foot view--literally. ***** PBS Member Stations rely on viewers like you. To support your local station, go to: http://to.pbs.org/DonateTerra ***** Subscribe to PBS Terra so you never miss an episode! https://bit.ly/3mOfd77  And keep up with PBS Terra on:  Facebook:    / pbsdigitalstudios   Tiktok:   / pbsterra   Instagram:    / pbsterra  ",In-favor,2034734,30000,1080,587000
Youtube,Climate Change,Recommended,"The Surprising Solutions to the World's Water Crisis | The Future With Hannah Fry",United States,https://www.youtube.com/watch?v=FDY2McKLvlM,,Video,"Bloomberg Originals",8/3/24,"Our survival depends on water, yet global reserves are rapidly shrinking. It's now replaced oil as the most likely cause of global conflict. Can technology help secure humanity's future water needs? Do you want to know what your future holds? A life beyond 150 years old? A world where computers can read our emotions? A planet transformed by unlimited clean energy? Mathematician Hannah Fry will explore these questions and more.Watch more from The Future With Hannah Fry here:    • The Future with Hannah Fry  --------Like this video? Subscribe: http://www.youtube.com/Bloomberg?sub_...Get unlimited access to Bloomberg.com for $1.99/month for the first 3 months: https://www.bloomberg.com/subscriptio...Bloomberg Originals offers bold takes for curious minds on today’s biggest topics. Hosted by experts covering stories you haven’t seen and viewpoints you haven’t heard, you’ll discover cinematic, data-led shows that investigate the intersection of business and culture. Exploring every angle of climate change, technology, finance, sports and beyond, Bloomberg Originals is business as you’ve never seen it. Subscribe for business news, but not as you've known it: exclusive interviews, fascinating profiles, data-driven analysis, and the latest in tech innovation from around the world. Visit our partner channel Bloomberg Quicktake for global news and insight in an instant. Transcript",In-favor,916666,18000,1441,4490000
Youtube,Climate Change,Recommended,"Not enough water to go around: Colorado River Basin, ravaged by drought, plans for a drier future",United States,https://www.youtube.com/watch?v=gmeWydWm2MU,#coloradoriver #news #drought,Video,60 Minutes,7/31/23,"Seven states and 30 Native American tribes lying in the Colorado River Basin prepare to make hard choices as water levels plummet due to a 23-year drought. Bill Whitaker reports. #coloradoriver #drought #news  ""60 Minutes"" is the most successful television broadcast in history. Offering hard-hitting investigative reports, interviews, feature segments and profiles of people in the news, the broadcast began in 1968 and is still a hit, over 50 seasons later, regularly making Nielsen's Top 10. Subscribe to the “60 Minutes” YouTube channel: http://bit.ly/1S7CLRu Watch full episodes: http://cbsn.ws/1Qkjo1F Get more “60 Minutes” from “60 Minutes: Overtime”: http://cbsn.ws/1KG3sdr Follow “60 Minutes” on Instagram: http://bit.ly/23Xv8Ry Like “60 Minutes” on Facebook: http://on.fb.me/1Xb1Dao Follow “60 Minutes” on Twitter: http://bit.ly/1KxUsqX Subscribe to our newsletter: http://cbsn.ws/1RqHw7T Download the CBS News app: http://cbsn.ws/1Xb1WC8 Try Paramount+ free: https://bit.ly/2OiW1kZFor video licensing inquiries, contact: licensing@veritone.com",In-favor,778216,8900,829,3470000
Youtube,Climate Change,Recommended,Colorado River in Crisis: A Los Angeles Times documentary,United States,https://www.youtube.com/watch?v=k8DovzEMxpY,,Video,Los Angeles Times,11/15/23,"Journalists from the Los Angeles Times travel along the Colorado River to examine how the Southwest is grappling with the water crisis.The Colorado River can no longer withstand the thirst of the arid West. Water drawn from the river flows to millions of people in cities from Denver to Los Angeles and irrigates vast farmlands. For decades, sections of the river have been entirely used up, leaving dusty expanses of desert where water once flowed to the sea in Mexico. Now, chronic overuse and the effects of climate change are pushing the river system toward potential collapse, with depleted reservoirs near the lowest levels since they were filled. A water reckoning is about to transform the landscape of the Southwest. Colorado River in Crisis follows Los Angeles Times journalists traveling throughout the river’s watershed, from the headwaters in the Rocky Mountains to the river’s dry delta. These stories reveal the stark toll of the river’s decline, responses that have yet to match the scale of the crisis, and voices that are urging a fundamental rethinking of how water is managed and used to adapt to the reality of an overtapped and dwindling river. This documentary was filmed and produced by Albert Brave Tiger Lee, with reporting by Ian James and other L.A. Times journalists. Consulting producers included Maggie Beidelman, Robert Meeks and Erik Himmelsbach-Weinstein. (46 minutes) Read the L.A. Times series Colorado River in Crisis: https://www.latimes.com/environment/s...0:00 Intro 2:20  The Headwaters of the Colorado River 8:03 The River Keeper  15:50 Tribes push for change   19:53 Agriculture under Pressure 27:54 Growing suburbs in the desert 34:53 A Water Reckoning 40:01 The River’s End READ THE SERIES: https://www.latimes.com/environment/s... SUBSCRIBE FOR MORE VIDEOS AND NEWS http://www.youtube.com/subscription_c... https://www.latimes.com/subscription LET’S CONNECT: Facebook ►   / latimes   Twitter ►   / latimes   Instagram ►   / latimes  ",In-favor,104790,1100,2744,649000
Youtube,Climate Change,Recommended,The Future of California’s Water | Full Series,United States,https://www.youtube.com/watch?v=J7snSk12Qls,,Video,ABC10,5/2/24,"In this ABC10 Weather investigation, the team looks into what the future holds for California's water. Subscribe at: https://goo.gl/vai8Eu Find ABC10 online: https://www.abc10.com/ Sign up for our newsletter: https://www.abc10.com/email  Stream ABC10 on Roku: https://channelstore.roku.com/details... Stream ABC10 on Amazon Fire: https://www.amazon.com/Gannett-Broadc... Stream ABC10 on AppleTV: https://itunes.apple.com/us/app/abc10... Like ABC10 on Facebook:   / abc10tv    Like ABC10 on Instagram:   / abc10tv   Follow ABC10 on Twitter:   / abc10   App download Android: https://play.google.com/store/apps/de... App download iPhone: https://apps.apple.com/us/app/abc10-n...",In-favor,52142,712,1226,417000
Youtube,Climate Change,Recommended,The Global Sand Crisis: Running Out Faster Than You Think | FULL DOCUMENTARY,United States,https://www.youtube.com/watch?v=Bhc4t9B18B4,#documentary #freedocumentary #fulldocumentary #sand #sandwars #sandmafia,Video,SLICE Full Doc,2/15/25,"For most of us, sand evokes little more than beaches, sunshine and vacations. Yet these tiny little rocks are far from insignificant. Omnipresent in our daily lives and indispensable to our modern economies, sand is used in almost every sector, starting with construction. Every year, 15 billion tons are mined worldwide! Yet this resource is not unlimited, and its unbridled exploitation is beginning to cause irreversible damage... While reserves are dwindling, public works groups continue to relentlessly extract sand from the coasts and the seabed. What are the consequences for the environment and local populations? Today, scientists and environmentalists are sounding the alarm. If we don't act soon, beaches could disappear from the face of the Earth. This meticulous and thrilling investigation takes us to the four corners of the globe – from Mumbai to Dubai, via Tangiers and the Maldives – to examine the workings of this new gold rush. Giving the floor to international experts, it reveals the underside of an unsuspected and unprecedented ecological, social and human drama. Documentary: Sand Wars (2013) Director: Denis Delestrac  Production: Taxi Brousse, Rappi Productions, InformAction #documentary #freedocumentary #fulldocumentary #sand #sandwars #sandmafia",Neutral,60888,899,3080,267000
Youtube,Climate Change,Recommended,Why Sand Divers Risk Their Lives 300 Times A Day For The World's Most Mined Resource,United States,https://www.youtube.com/watch?v=mU1IdB7rv70,#cameroon #mining #businessinsider ,Video,Business Insider,7/24/24,"Sand is the most mined resource in the world. But extracting it from lakes and rivers comes at a deadly cost — and could have dire consequences for the environment. MORE RISKY BUSINESS VIDEOS: 
How China's Thirst For 'Blood Jade' Fuels A Risky Trade In Myanmar | Risky Business • How China's Thirst For 'Blood Jade' F...  How Syria's 'Valley Of Death' Became One Of The Largest Landfills In The Country | Risky Business    • How Syria's 'Valley Of Death' Became ...  Why Hunting For 20-Million-Year-Old Petrified Wood Is So Dangerous In Indonesia | Risky Business  • Why Hunting For 20-Million-Year-Old P...   00:00 - Introduction 01:13 - On The Way To The Quarry 02:13 - Mining In The Wouri River 05:37 - From Sand Miner To UFC Fighter 06:53 - The Business Of Sand Mining 08:00 - Environmental Consequences 09:43 - Impact On Fishing Industry 10:32 - Sand And Urbanization 11:36 - Mining In The Beki River 12:20 - Manufactured Sand 13:03 - Finding The Silver Lining 14:13 - Credits ------------------------------------------------------#cameroon #mining #businessinsider Business Insider tells you all you need to know about business, finance, tech, retail, and more.Visit our homepage for the top stories of the day: https://www.businessinsider.com Business Insider on Facebook:   / businessinsider   Business Insider on Instagram:   / insiderbusiness   Business Insider on Twitter:   / businessinsider    Business Insider on Snapchat:   / 5319643143  Business Insider on TikTok:   / businessinsider   Why Sand Divers Risk Their Lives 300 Times A Day For The World's Most Mined Resource",Neutral,292000,4800,795,9190000
